Episode;SurvivalTime;TotalReward;Died;DamageEvents;DamageTaken;ShotsFired;Kills;HealthPickups;AmmoPickups;+TimeToFirstHit;MaxAlerted
263;26.5;-5.15;1;4;100;4;4;0;0;21.5;5
264;25.4;-5.15;1;4;100;4;4;0;0;9.5;3
265;37.3;-1.75;1;4;100;9;7;0;2;21.7;3
266;20.7;-5.85;1;4;100;4;4;0;0;13.3;3
267;33.4;-3.65;1;4;100;5;5;0;0;24.4;3
268;35.3;-3.45;1;4;100;7;6;0;2;18.0;2
269;26.9;-5.45;1;4;100;3;3;0;0;21.1;5
270;23.1;-5.95;1;4;100;4;3;0;0;15.4;2
271;29.3;-5.25;1;4;100;5;3;0;1;22.8;4
272;30.7;-4.35;1;4;100;5;4;1;0;22.5;5
273;50.6;0.34;1;6;130;9;8;1;1;18.4;4
274;18.0;-7.35;1;4;100;2;1;0;0;14.2;3
275;32.1;-3.95;1;4;100;5;5;0;0;26.6;4
276;19.7;-6.85;1;4;100;2;2;0;0;14.3;4
277;28.4;-5.35;1;4;100;4;2;0;2;8.9;4
278;27.6;-5.45;1;4;100;3;3;0;0;22.2;4
279;34.3;-2.85;1;4;100;6;6;0;1;30.9;4
280;24.2;-4.45;1;4;100;5;5;0;1;16.6;2
281;36.5;-3.95;1;4;100;4;4;2;0;31.3;3
282;33.1;-3.75;1;4;100;6;5;0;0;16.3;5
283;43.9;-1.95;1;4;100;6;6;0;0;39.1;5
284;30.0;-4.15;1;4;100;5;5;0;0;24.6;4
285;40.0;-3.35;1;4;100;5;4;0;0;18.6;4
286;29.2;-3.85;1;4;100;6;6;0;0;21.9;3
287;24.5;-5.95;1;4;100;3;2;0;1;19.4;3
288;37.5;-2.05;1;4;100;7;7;0;1;19.7;3
289;28.4;-4.25;1;4;100;5;5;1;1;16.3;3
290;23.6;-6.35;1;4;100;3;2;0;0;18.4;4
291;33.9;-3.45;1;4;100;6;5;0;0;20.1;2
292;45.8;0.25;1;4;100;9;9;0;1;18.8;3
293;31.1;-3.25;1;4;100;6;6;0;0;21.0;2
294;35.2;-2.85;1;4;100;6;6;0;0;17.0;3
295;25.2;-5.15;1;4;100;5;4;0;0;13.7;3
296;24.1;-5.45;1;4;100;4;4;0;0;14.8;2
297;26.3;-4.75;1;4;100;5;5;0;0;16.0;4
298;29.8;-3.45;1;4;100;6;6;0;0;18.6;2
299;46.1;-1.47;1;6;130;6;6;1;0;28.4;3
300;26.5;-4.65;1;4;100;5;5;0;0;17.2;3
301;23.9;-5.35;1;4;100;4;4;0;0;18.3;3
302;42.0;-2.35;1;6;130;6;5;1;0;34.4;5
303;26.8;-4.75;1;6;130;6;4;2;0;15.1;3
304;39.0;-3.45;1;4;100;5;4;0;1;33.6;2
305;28.2;-5.05;1;4;100;5;4;0;0;19.9;4
306;49.5;-0.97;1;6;130;6;6;1;0;17.3;3
307;50.1;-0.97;1;6;130;6;6;1;0;18.6;3
308;24.0;-4.85;1;4;100;6;5;1;0;11.2;2
309;32.4;-3.85;1;4;100;6;5;0;0;17.6;2
310;24.1;-5.45;1;4;100;4;3;0;1;17.4;3
311;40.6;-2.35;1;4;100;6;6;0;0;18.6;3
312;30.8;-3.95;1;4;100;6;5;0;0;23.2;2
313;25.0;-5.45;1;4;100;4;3;0;1;17.4;3
314;28.1;-4.25;1;4;100;6;5;0;0;16.5;3
315;46.8;-2.55;1;4;100;6;5;0;0;14.8;5
316;19.2;-6.45;1;4;100;3;3;0;0;12.5;2
317;23.8;-5.75;1;4;100;3;3;0;0;18.5;4
318;34.1;-3.55;1;4;100;6;5;0;0;28.0;3
319;45.7;-0.97;1;8;190;6;6;3;0;27.7;3
320;24.9;-5.25;1;4;100;5;4;0;0;16.9;3
321;35.8;-2.95;1;4;100;6;6;0;0;16.1;4
322;31.4;-3.95;1;4;100;6;5;0;0;17.2;3
323;39.1;-2.35;1;4;100;6;6;0;0;18.4;3
324;30.3;-3.75;1;4;100;6;6;0;0;24.3;3
325;19.6;-6.85;1;4;100;3;2;0;0;16.5;3
326;35.5;-2.95;1;4;100;6;6;1;0;12.9;2
327;28.2;-4.85;1;4;100;4;4;0;0;21.7;4
328;29.1;-4.75;1;4;100;5;4;0;0;15.2;5
329;23.2;-5.45;1;4;100;4;4;0;0;18.5;4
330;37.2;-1.95;1;4;100;8;7;0;1;11.6;3
331;22.2;-6.25;1;6;130;4;2;1;0;14.7;5
332;25.3;-5.75;1;4;100;4;3;0;0;20.9;3
333;31.5;-4.45;1;4;100;6;4;1;0;24.5;4
334;32.3;-3.75;1;4;100;6;5;0;0;26.7;4
335;17.0;-6.85;1;4;100;3;2;0;1;11.1;2
336;34.1;-3.15;1;4;100;6;6;0;0;30.2;3
337;54.5;0.83;1;7;160;9;8;2;1;17.6;5
338;39.3;-3.45;1;4;100;4;4;1;0;33.3;2
339;31.2;-4.05;1;4;100;6;5;0;0;25.5;4
340;44.9;-1.36;1;5;125;6;6;1;0;33.1;3
341;31.4;-3.05;1;4;100;6;6;0;1;25.5;4
