Episode;SurvivalTime;TotalReward;Died;DamageEvents;DamageTaken;ShotsFired;Kills;HealthPickups;AmmoPickups
345;28.9;-0.12;1;4;100;5;4;1;0
346;38.8;-6.09;1;5;125;4;2;1;1
347;71.0;4.47;1;5;125;7;5;5;6
348;76.5;0.86;1;6;150;6;4;4;4
349;49.1;0.44;1;4;100;5;4;1;0
350;43.4;6.68;1;4;100;7;6;3;2
351;108.5;17.71;1;5;125;10;9;5;7
352;32.6;-6.02;1;4;100;3;2;0;0
353;26.6;-6.22;1;4;100;3;2;0;0
354;120.1;37.58;0;0;0;12;11;4;4
355;29.7;-3.10;1;4;100;3;3;0;0
356;16.1;-9.56;1;4;100;3;1;2;0
357;92.7;14.06;1;4;100;9;8;8;3
358;50.2;3.54;1;4;100;5;5;1;1
359;54.7;0.61;1;5;125;7;4;1;4
360;23.0;-3.32;1;4;100;4;3;1;1
361;36.3;6.00;1;6;130;7;6;2;2
362;25.8;2.72;1;4;100;6;5;0;0
363;20.3;-9.18;1;4;100;3;1;1;1
364;23.7;-3.28;1;4;100;4;3;2;0
365;58.5;3.48;1;6;130;8;5;2;2
366;21.4;-6.36;1;4;100;3;2;0;2
367;39.2;9.54;1;4;100;7;7;1;4
368;27.6;-0.16;1;4;100;5;4;1;1
369;52.7;6.51;1;6;150;8;6;4;3
370;21.1;-9.36;1;4;100;2;1;0;1
371;27.4;-3.04;1;4;100;5;3;1;2
372;91.6;23.30;1;4;100;11;11;6;7
373;69.5;19.84;1;4;100;12;10;2;5
374;26.6;-5.80;1;4;100;4;2;1;4
375;47.6;3.17;1;5;125;6;5;3;1
376;33.4;-11.98;1;4;100;2;0;2;1
377;64.3;21.90;1;6;130;12;11;2;6
378;34.4;6.30;1;4;100;8;6;1;2
379;74.3;16.73;1;5;125;11;9;3;5
380;34.9;-2.62;1;4;100;4;3;1;3
381;30.1;-6.16;1;4;100;3;2;0;0
382;31.8;-0.14;1;4;100;6;4;0;0
383;42.4;0.28;1;4;100;5;4;3;2
384;29.2;3.02;1;4;100;7;5;0;2
385;27.9;-3.22;1;4;100;5;3;2;0
386;93.2;17.30;1;4;100;13;9;1;4
387;41.2;0.02;1;6;130;6;4;1;2
388;75.7;9.68;1;7;160;7;7;3;3
389;39.4;3.34;1;4;100;6;5;1;2
390;45.5;3.56;1;4;100;6;5;2;3
391;44.6;-2.30;1;4;100;5;3;0;2
392;42.3;6.22;1;4;100;6;6;4;1
393;62.0;-1.90;1;4;100;4;3;6;3
394;91.5;7.67;1;5;125;9;6;5;3
395;26.1;-5.87;1;6;130;3;2;1;0
396;44.3;-2.62;1;4;100;4;3;1;2
397;30.1;2.82;1;4;100;6;5;0;1
398;39.7;3.36;1;4;100;7;5;2;3
399;38.0;2.97;1;5;125;9;5;2;2
400;38.1;0.30;1;4;100;5;4;3;2
401;35.6;-2.96;1;4;100;4;3;1;1
402;51.7;6.00;1;6;150;6;6;3;1
403;54.9;3.62;1;5;125;6;5;2;0
404;35.4;2.60;1;6;130;6;5;1;0
405;27.8;-3.18;1;4;100;4;3;1;0
406;74.4;22.34;1;6;130;12;11;1;3
407;30.1;-0.28;1;4;100;5;4;0;0
408;40.4;6.36;1;4;100;6;6;1;1
409;106.0;23.81;1;5;125;12;11;4;4
410;47.2;0.38;1;4;100;5;4;1;0
411;55.4;12.02;1;7;160;9;8;2;1
412;58.2;12.48;1;6;130;10;8;1;2
413;80.3;29.60;1;4;100;15;13;5;8
414;45.6;0.54;1;4;100;7;4;3;3
415;34.9;-5.96;1;4;100;4;2;2;2
416;68.2;13.24;1;4;100;9;8;5;2
417;31.7;-2.84;1;4;100;3;3;1;4
418;70.4;13.45;1;5;125;12;8;7;3
419;43.3;3.64;1;4;100;5;5;1;4
420;37.2;-2.74;1;4;100;5;3;1;4
421;34.9;3.00;1;4;100;6;5;4;0
422;18.6;-9.26;1;4;100;3;1;1;2
423;39.1;-3.13;1;5;125;4;3;3;2
424;57.5;12.84;1;6;130;10;8;2;3
425;30.8;0.04;1;4;100;7;4;1;2
426;34.3;0.00;1;4;100;5;4;1;1
427;24.3;-3.34;1;4;100;6;3;0;0
428;62.3;4.10;1;4;100;5;5;4;1
429;42.7;6.24;1;4;100;6;6;0;2
430;65.4;6.91;1;5;125;8;6;1;1
431;20.9;-6.38;1;4;100;3;2;0;0
432;47.0;6.34;1;6;130;8;6;2;3
433;54.2;3.93;1;5;125;8;5;3;5
434;41.3;3.20;1;4;100;5;5;0;2
435;33.9;-2.64;1;4;100;6;3;0;4
436;19.9;-0.46;1;4;100;5;4;0;1
437;36.9;-3.29;1;5;125;5;3;2;2
438;30.3;-3.28;1;4;100;4;3;1;2
439;74.4;22.04;1;6;150;12;11;3;3
440;47.3;12.33;1;5;125;9;8;6;1
441;32.2;2.94;1;5;125;6;5;2;2
442;40.4;-3.62;1;7;160;6;3;2;1
443;36.5;0.30;1;4;100;5;4;2;3
444;97.4;19.95;1;7;175;14;10;5;8
445;35.7;0.20;1;4;100;6;4;0;1
446;36.6;-2.90;1;4;100;3;3;3;1
447;32.2;-3.04;1;4;100;4;3;1;2
448;42.4;8.60;1;7;160;8;7;2;4
449;71.1;25.61;1;5;125;13;12;5;6
450;30.4;-0.16;1;4;100;5;4;2;1
451;30.7;-3.23;1;5;125;5;3;3;1
452;30.4;3.06;1;4;100;6;5;2;2
453;85.2;19.60;1;6;150;13;10;7;4
454;34.3;0.18;1;4;100;6;4;4;1
455;37.3;3.06;1;4;100;5;5;4;0
456;35.5;-8.80;1;4;100;3;1;1;2
457;46.6;3.11;1;5;125;6;5;3;2
458;59.1;16.58;1;4;100;10;9;3;6
459;36.4;6.22;1;4;100;7;6;1;3
460;35.1;0.02;1;4;100;6;4;3;0
461;52.8;5.64;1;8;200;9;6;4;3
462;25.9;-3.06;1;4;100;4;3;1;2
463;17.6;-9.54;1;4;100;2;1;1;1
464;27.5;-2.85;1;6;130;6;3;3;0
465;59.4;-1.96;1;4;100;4;3;0;3
466;31.2;-0.48;1;6;150;7;4;3;1
467;67.1;3.54;1;6;150;6;5;5;1
468;70.6;13.10;1;6;150;12;8;6;4
469;59.6;9.46;1;6;130;10;7;3;2
470;46.1;8.72;1;7;160;9;7;3;2
471;72.8;4.62;1;4;100;7;5;6;3
472;110.5;2.92;1;4;100;6;4;4;10
473;38.7;-2.93;1;5;125;5;3;3;2
474;25.3;-3.08;1;4;100;4;3;1;1
475;86.5;14.12;1;4;100;8;8;4;9
476;85.8;20.05;1;7;155;15;10;3;9
477;30.6;2.97;1;5;125;8;5;1;2
478;32.6;2.96;1;4;100;7;5;1;2
479;85.3;19.04;1;9;220;15;10;4;9
480;58.1;7.03;1;7;160;9;6;4;3
481;40.5;0.56;1;4;100;5;4;2;2
482;38.2;9.19;1;7;160;8;7;4;1
483;99.4;14.12;1;6;130;11;8;4;7
484;46.7;0.54;1;4;100;5;4;0;1
485;99.6;34.72;1;8;180;18;15;5;4
486;43.9;6.68;1;4;100;8;6;1;2
487;51.3;3.10;1;6;130;6;5;3;1
488;31.8;-6.16;1;4;100;4;2;2;2
489;54.4;-2.73;1;5;125;6;3;2;3
